round,client_id,num_examples,train_loss,train_time,bandwidth_mbps,latency_ms,network_score,loss_change,bit_width,upload_comm_bytes,download_comm_bytes,total_comm_bytes,communication_reduction,estimated_upload_time,estimated_total_time
1,3,12000,0.5379208832820679,13.085257053375244,1.4410222168101021,204.41208179726615,0.196459473379441,1.0,8,225066,900136,1125202,74.99644498164722,1.453891776833275,14.53914883020852
1,2,12000,0.5643414616426254,13.081769466400146,3.759295292683012,128.99613309115946,0.43415453739665133,1.0,8,225066,900136,1125202,74.99644498164722,0.6079497293953652,13.689719195795512
1,0,12000,0.5620853570785295,13.077368974685669,7.403092732337203,52.371686846861635,0.7658448044167425,1.0,8,225066,900136,1125202,74.99644498164722,0.2955846338001226,13.372953608485792
1,1,12000,0.5402242474733515,13.042882680892944,6.3899529038799106,54.10383629236242,0.6931928669792313,1.0,8,225066,900136,1125202,74.99644498164722,0.3358786830062934,13.378761363899237
1,4,12000,0.5067471823199315,13.006008386611938,4.446111331208783,58.46548407786439,0.5527623091067504,1.0,8,225066,900136,1125202,74.99644498164722,0.46343240142909564,13.469440788041034
2,0,12000,0.14162593738156112,13.889903545379639,9.868102815667747,57.39137435296747,0.9333758227437747,0.4204594196969683,8,225066,900136,1125202,74.99644498164722,0.2398507623055608,14.1297543076852
2,3,12000,0.15167501048640686,13.832095861434937,1.2321528586280965,223.34758240110318,0.1629031177028636,0.386245872795661,8,225066,900136,1125202,74.99644498164722,1.6846338078818799,15.516729669316817
2,2,12000,0.13976935943231938,13.82910680770874,4.182473421106044,140.02267499183608,0.452750464485587,0.42457210221030606,8,225066,900136,1125202,74.99644498164722,0.5705162654385758,14.399623073147316
2,1,12000,0.1335478300833084,13.824124813079834,5.562845221065727,79.48751407080312,0.6099116514037978,0.4066764173900431,8,225066,900136,1125202,74.99644498164722,0.40315785333921367,14.227282666419047
2,4,12000,0.1287713104938256,13.745636224746704,9.14721692806415,214.1293293104367,0.7261758556540538,0.3779758718261059,8,225066,900136,1125202,74.99644498164722,0.41096821639049314,14.156604441137198
3,3,12000,0.09680592970169605,14.237951278686523,2.0229351939707536,232.88307491545766,0.20872238866249507,0.05486908078471081,4,112549,900136,1012685,87.49644498164722,0.6779749407762962,14.91592621946282
3,2,12000,0.09110413804561138,14.30666208267212,2.338291169250707,177.19454381354936,0.28648583803400013,0.04866522138670801,4,112549,900136,1012685,87.49644498164722,0.5622586503886624,14.868920733060781
3,4,12000,0.0867882794353794,14.301683902740479,9.766542620806986,87.59698024587402,0.896061003210615,0.041983031058446196,6,168807,900136,1068943,81.24650052880898,0.22587068184452785,14.527554584585006
3,1,12000,0.08949475638330617,14.343054294586182,5.49202426281941,75.19933198021798,0.6092423664171407,0.04405307370000222,6,168807,900136,1068943,81.24650052880898,0.3210933658326329,14.664147660418815
3,0,12000,0.09367062557399511,14.287730693817139,7.713893881275674,37.21146126479759,0.8027611104244996,0.047955311807566015,6,168807,900136,1068943,81.24650052880898,0.21227946463440972,14.500010158451548
4,3,12000,0.0751950300306062,14.383562564849854,1.888231316667402,180.6470725692945,0.25152911959742363,0.021610899671089853,4,112549,900136,1012685,87.49644498164722,0.6574911922765821,15.041053757126436
4,1,12000,0.06410956791815091,14.278401613235474,5.2633747184203,118.32751341397143,0.5501087168754495,0.025385188465155265,6,168807,900136,1068943,81.24650052880898,0.37490358337794183,14.653305196613415
4,2,12000,0.07355413347373697,14.24251914024353,3.573636561747542,163.1712291253502,0.3869833301969777,0.017550004571874403,4,112549,900136,1012685,87.49644498164722,0.41512522177190514,14.657644362015436
4,4,12000,0.06877526052870807,14.376587152481079,5.01856255577993,119.38768550722405,0.531911693397371,0.018013018906671327,6,168807,900136,1068943,81.24650052880898,0.38847987774156534,14.765067030222644
4,0,12000,0.074999273479718,14.347177982330322,7.708144269212304,15.15830171153579,0.8244117971333254,0.018671352094277102,6,168807,900136,1068943,81.24650052880898,0.19035689074079942,14.537534873071122
5,1,12000,0.0542334437189485,14.533413171768188,5.449331189458029,113.15280994728028,0.5683003733147818,0.009876124199202412,6,168807,900136,1068943,81.24650052880898,0.3609733136106503,14.894386485378838
