round,method,num_clients,total_examples,accuracy,test_loss,avg_train_loss,avg_train_time,upload_comm_bytes,download_comm_bytes,total_comm_bytes,avg_reduction,upload_comm_kb,download_comm_kb,total_comm_kb
1,fixed_int8,5,60000,0.9406,0.2422369122505188,0.5380699476821625,16.749894523620604,1125330,4500680,5626010,74.99644498164722,1098.955078125,4395.1953125,5494.150390625
2,fixed_int8,5,60000,0.9759,0.07793141156435013,0.15267488130150322,15.791389513015748,1125330,4500680,5626010,74.99644498164722,1098.955078125,4395.1953125,5494.150390625
3,fixed_int8,5,60000,0.9821,0.054026030004024506,0.09856369383756981,15.737875986099244,1125330,4500680,5626010,74.99644498164722,1098.955078125,4395.1953125,5494.150390625
4,fixed_int8,5,60000,0.9871,0.04156060889363289,0.07643550896145244,15.765488147735596,1125330,4500680,5626010,74.99644498164722,1098.955078125,4395.1953125,5494.150390625
5,fixed_int8,5,60000,0.9877,0.03531118109822273,0.06401455547695266,15.523972511291504,1125330,4500680,5626010,74.99644498164722,1098.955078125,4395.1953125,5494.150390625
6,fixed_int8,5,60000,0.9905,0.030447330325841904,0.05485414829838307,15.709454917907715,1125330,4500680,5626010,74.99644498164722,1098.955078125,4395.1953125,5494.150390625
7,fixed_int8,5,60000,0.9908,0.028711898252367973,0.04675675483496037,15.567995834350587,1125330,4500680,5626010,74.99644498164722,1098.955078125,4395.1953125,5494.150390625
8,fixed_int8,5,60000,0.9905,0.028837665915489197,0.04227028248529445,16.213755798339843,1125330,4500680,5626010,74.99644498164722,1098.955078125,4395.1953125,5494.150390625
9,fixed_int8,5,60000,0.9914,0.024767925962805748,0.037242993379279256,16.8279670715332,1125330,4500680,5626010,74.99644498164722,1098.955078125,4395.1953125,5494.150390625
10,fixed_int8,5,60000,0.9907,0.024345427751541138,0.03293662938862752,15.716398525238038,1125330,4500680,5626010,74.99644498164722,1098.955078125,4395.1953125,5494.150390625
